x,y,gid,Name,description
"-46,6576159","-23,5823917",202,PEV - Parque do Ibirapuera - Portão 10 ,"Materiais recicláveis: metal, papel, plástico e vidro. Avenida Pedro Álvares Cabral, Portão 10 - Parque Ibirapuera."
"-46,6532991","-23,5893384",203,PEV -  Parque do Ibirapuera - Portão 3,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Pedro Álvares Cabral 3 - Vila Mariana."
"-46,6605036","-23,5936105",204,PEV - Parque do Ibirapuera  - Portão 6,"Materiais recicláveis: metal, papel, plástico e vidro. Av. IV Centenário  - Vila Mariana."
"-46,6640414","-23,5876989",205,PEV - Parque do Ibirapuera - Portão 8,"Materiais recicláveis: metal, papel, plástico e vidro. Av. República do Líbano - Vila Mariana."
"-46,6525138","-23,6001058",206,PEV - Tribunal de Contas,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Professor Ascendino Reis, 1130 - Vila Clementino. "
"-46,5593236","-23,5560396",207,PEV - Centro Esportivo e Recreativo do Trabalhador,"Materiais recicláveis: metal, papel, plástico e vidro. R. Canúto Abreu, s/n - Tatuapé."
"-46,5323626","-23,548477",208,PEV - CCE Italo Feola Parque Nova Manchester ,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Haroldo Daltro - Vila Nova Manchester."
"-46,5254072","-23,5809509",209,PEV - Ceu Formosa,"Materiais recicláveis: metal, papel, plástico e vidro. R. Srg. Claudiner Evaristo Dias, 10 - Parque Santo Antônio."
"-46,5235509","-23,5805972",210,PEV - ETEC - Parque Santo Antonio ,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Abilene, 16 - Parque Santo Antônio."
"-46,5602088","-23,5561884",211,PEV - PARQUE ESPORTIVO DOS TRABALHADORES,"Materiais recicláveis: metal, papel, plástico e vidro. R Canuto Abreu Ref: Trav. Eleonora Cintra -Tatuapé."
"-46,6223931","-23,6503595",212,PEV - Parque de Ciência e Tecnologia da USP,"Materiais recicláveis: metal, papel, plástico e vidro.  Av. Miguel Estefno, 4200 - Vila Água Funda."
"-46,6109343","-23,5845161",213,PEV - Museu do Ipiranga,"Materiais recicláveis: metal, papel, plástico e vidro. Av Nazare, 100 - Ipiranga."
